,Ensembl,Symbol,s28mo_AR_M-s22mo_AR_M_logFC,s28mo_AR_M-s22mo_AR_M_logCPM,s28mo_AR_M-s22mo_AR_M_LR,s28mo_AR_M-s22mo_AR_M_PValue,s28mo_AR_M-s22mo_AR_M_Status,s28mo_AR_M-s22mo_AR_M_Status,Description
174,ENSMUSG00000001348,Acp5,1.3742540493,1.75317417,32.6282092370895,1.115834273e-8,4.51013698225e-6,UP,"acid phosphatase 5, tartrate resistant"
10694,ENSMUSG00000053398,Phgdh,1.1680850175,2.42996587,32.596565095034,1.134150121e-8,4.51013698225e-6,UP,3-phosphoglycerate dehydrogenase
11004,ENSMUSG00000056501,Cebpb,-0.6247709836,6.2378377,30.929632530258,2.675552347e-8,1.03522182182e-5,DOWN,"CCAAT/enhancer binding protein (C/EBP), beta"
12235,ENSMUSG00000073375,Lrrc30,-0.8260130932,6.78542349,29.7479564466596,4.920246856e-8,1.853638262923e-5,DOWN,leucine rich repeat containing 30
1114,ENSMUSG00000013936,Myl2,-0.7082449715,7.41678564,29.6943387781631,5.058232506e-8,1.85676042486e-5,DOWN,"myosin, light polypeptide 2, regulatory, cardiac, slow"
4952,ENSMUSG00000028195,Ccn1,-0.9303819802,5.75700599,28.7738512323395,8.134196382e-8,2.840223302684e-5,DOWN,cellular communication network factor 1
7594,ENSMUSG00000035923,Myf6,-0.6053298044,6.71456044,28.7800517003362,8.10819618e-8,2.840223302684e-5,DOWN,myogenic factor 6
10872,ENSMUSG00000055116,Arntl,-1.0381406239,3.78997167,28.38228268506,9.957241932e-8,3.393997035903e-5,DOWN,aryl hydrocarbon receptor nuclear translocator-like
4197,ENSMUSG00000026418,Tnni1,-0.8673279103,6.28254508,28.2124231384767,1.0870461565e-7,3.619105297161e-5,DOWN,"troponin I, skeletal, slow 1"
3548,ENSMUSG00000024803,Ankrd1,-0.7429928036,4.20405444,27.0618666708049,1.9704687327e-7,6.411188722279e-5,DOWN,ankyrin repeat domain 1 (cardiac muscle)
3088,ENSMUSG00000023067,Cdkn1a,-1.5877145817,5.25373053,26.8477037050244,2.2013575976e-7,6.8268707581680007e-05,DOWN,cyclin-dependent kinase inhibitor 1A (P21)
11844,ENSMUSG00000067149,Jchain,1.4997480244,1.70412893,26.8129625800383,2.2412889468e-7,6.8268707581680007e-05,UP,immunoglobulin joining chain
12175,ENSMUSG00000072235,Tuba1a,0.7272411308,5.07139148,26.8849490221971,2.1593395639e-7,6.8268707581680007e-05,UP,"tubulin, alpha 1A"
1929,ENSMUSG00000020423,Btg2,-0.7810128427,4.18700413,25.7785845502548,3.8291365952e-7,1.1187330509687e-4,DOWN,BTG anti-proliferation factor 2
11726,ENSMUSG00000064179,Tnnt1,-0.7408068277,7.41820294,25.7962878730612,3.7941749645e-7,1.1187330509687e-4,DOWN,"troponin T1, skeletal, slow"
11028,ENSMUSG00000056749,Nfil3,-1.0210400208,5.05311685,25.6863062679584,4.0166711078e-7,1.150053271605e-4,DOWN,"nuclear factor, interleukin 3, regulated"
3939,ENSMUSG00000025784,Clec3b,0.7237501246,4.68463291,25.5746572719406,4.2559250771e-7,1.1946632040005e-4,UP,"C-type lectin domain family 3, member b"
3744,ENSMUSG00000025225,Nfkb2,-0.7001534398,4.39894264,25.5198578382028,4.378531215e-7,1.205443324517e-4,DOWN,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"
12391,ENSMUSG00000074794,Arrdc3,-0.7700600013,6.19801468,25.2382496980478,5.0667312463e-7,1.3685910287304e-4,DOWN,arrestin domain containing 3
4821,ENSMUSG00000027907,S100a11,0.8903335944,3.3957196,24.6481413108821,6.881108812e-7,1.824258402828e-4,UP,S100 calcium binding protein A11
2197,ENSMUSG00000020963,Tshr,1.5556147586,0.61392498,23.7422367798327,1.10138730749e-6,2.8668110352934e-4,UP,thyroid stimulating hormone receptor
2792,ENSMUSG00000022416,Cacna1i,-1.4609541395,1.23124583,23.6815900969385,1.136646744e-6,2.9057562120028e-4,DOWN,"calcium channel, voltage-dependent, alpha 1I subunit"
8719,ENSMUSG00000040016,Ptger3,1.3858336455,1.75518065,23.6037969710398,1.18353747279e-6,2.9725478000941e-4,UP,prostaglandin E receptor 3 (subtype EP3)
3013,ENSMUSG00000022894,Adamts5,0.6495064761,4.29124505,23.0240134152683,1.59990473419e-6,3.9121950969105e-4,UP,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggre"
7320,ENSMUSG00000034709,Ppp1r21,-0.9056773145,4.74296051,23.0091540904164,1.61231845988e-6,3.9121950969105e-4,DOWN,"protein phosphatase 1, regulatory subunit 21"
8278,ENSMUSG00000038463,Olfml2b,1.0465310804,1.93149104,22.6143127367227,1.98004035557e-6,4.7243762884015e-4,UP,olfactomedin-like 2B
6333,ENSMUSG00000031613,Hpgd,-1.1970538674,2.34823932,22.5674609136241,2.02892045085e-6,4.7616434712302e-4,DOWN,hydroxyprostaglandin dehydrogenase 15 (NAD)
9463,ENSMUSG00000043415,Otud1,-0.8727768152,4.81886935,22.391148575834,2.2239661125e-6,5.1352094946247e-4,DOWN,OTU domain containing 1
1778,ENSMUSG00000020108,Ddit4,-2.28869192,6.20918689,22.0372429868608,2.67411042359e-6,5.981650753784e-4,DOWN,DNA-damage-inducible transcript 4
2621,ENSMUSG00000022018,Rgcc,-0.5955486676,5.38907629,22.0605419628733,2.64184777357e-6,5.981650753784e-4,DOWN,regulator of cell cycle
22,ENSMUSG00000000184,Ccnd2,0.8738323326,2.81393376,21.938440453784,2.81537593037e-6,6.0903316246634e-4,UP,cyclin D2
1505,ENSMUSG00000018593,Sparc,0.6959553523,7.23960608,21.9644630059922,2.77745888271e-6,6.0903316246634e-4,UP,secreted acidic cysteine rich glycoprotein
11502,ENSMUSG00000061825,Ces2c,-2.7221090315,0.26204012,21.9147658305735,2.85032284753e-6,6.0903316246634e-4,DOWN,carboxylesterase 2C
11437,ENSMUSG00000061100,Retnla,0.8814641917,2.60522652,21.7939884543428,3.03549734847e-6,6.3906147118819e-4,UP,resistin like alpha
8015,ENSMUSG00000037613,Tnfrsf23,-0.9801936153,2.33591492,21.7529121553796,3.10118768207e-6,6.4342902690773e-4,DOWN,"tumor necrosis factor receptor superfamily, member 23"
2763,ENSMUSG00000022358,Fbxo32,-0.6533855008,9.59636662,21.1446190393165,4.25895415568e-6,8.7101696704042e-4,DOWN,F-box protein 32
4127,ENSMUSG00000026211,Obsl1,-0.4899296689,5.91568729,21.0724166814082,4.42248592636e-6,8.9172265523707e-4,DOWN,obscurin-like 1
6472,ENSMUSG00000031906,Smpd3,1.3121953954,0.90458583,20.9362965502647,4.74812162951e-6,9.4408485066822e-4,UP,"sphingomyelin phosphodiesterase 3, neutral"
10660,ENSMUSG00000053093,Myh7,-0.8218802258,9.38576717,20.408673867142902,6.25456656878e-6,0.00122658047943515,DOWN,"myosin, heavy polypeptide 7, cardiac muscle, beta"
3703,ENSMUSG00000025153,Fasn,0.9693658179,5.07867354,20.3004382812362,6.61854212243e-6,0.00128041958141498,UP,fatty acid synthase
3630,ENSMUSG00000024972,Lgals12,1.0490633207,1.45898522,20.1839707854509,7.03398843582e-6,0.0013426477126296,UP,"lectin, galactose binding, soluble 12"
1739,ENSMUSG00000020032,Nuak1,-0.4826656528,5.4248842,20.1495481724174,7.16171628319e-6,0.00134904118829296,DOWN,"NUAK family, SNF1-like kinase, 1"
5300,ENSMUSG00000028967,Errfi1,-0.521142594,5.37189659,19.9034767048433,8.14520647456e-6,0.00151437371285535,DOWN,ERBB receptor feedback inhibitor 1
7251,ENSMUSG00000034457,Eda2r,-0.7980839051,5.99742227,19.6709696493813,9.19882640441e-6,0.0016883384462265,DOWN,ectodysplasin A2 receptor
6164,ENSMUSG00000031209,Heph,1.361347382,0.89063812,19.6298207866086,9.39907139119e-6,0.00170325450678842,UP,hephaestin
6433,ENSMUSG00000031824,6430548M08Rik,-0.5348538151,5.11099103,19.2336705117757,1.156554079029e-5,0.00206965352442399,DOWN,RIKEN cDNA 6430548M08 gene
12479,ENSMUSG00000076617,Ighm,0.8274047861,6.51160593,19.0933641328368,1.244769402611e-5,0.00220001466268986,UP,immunoglobulin heavy constant mu
13260,ENSMUSG00000094686,Ccl21a,0.7726369337,2.80473666,18.9747500000297,1.32459803794e-5,0.00231255433062898,UP,chemokine (C-C motif) ligand 21A (serine)
9429,ENSMUSG00000043099,Hic1,0.7376539495,3.21524919,18.8691469400852,1.399987551525e-5,0.00241472551658244,UP,hypermethylated in cancer 1
11434,ENSMUSG00000061068,Mcpt4,1.1183182158,2.64551857,18.845761548655,1.417256733856e-5,0.00241541040498601,UP,mast cell protease 4
11653,ENSMUSG00000063415,Cyp26b1,-0.9513985765,3.19856255,18.6750313062304,1.549989526704e-5,0.00261054706638913,DOWN,"cytochrome P450, family 26, subfamily b, polypeptide 1"
4116,ENSMUSG00000026193,Fn1,0.5055959801,5.36419011,18.4865965081422,1.711033929782e-5,0.00277119462959954,UP,fibronectin 1
4616,ENSMUSG00000027397,Slc20a1,-0.5164265911,4.79722399,18.5140200143039,1.686590819506e-5,0.00277119462959954,DOWN,"solute carrier family 20, member 1"
6605,ENSMUSG00000032231,Anxa2,0.5407000612,4.88714274,18.4735336548568,1.722801914182e-5,0.00277119462959954,UP,annexin A2
9761,ENSMUSG00000045817,Zfp36l2,0.5723253405,4.14456262,18.4912311537632,1.70687813225e-5,0.00277119462959954,UP,"zinc finger protein 36, C3H type-like 2"
3936,ENSMUSG00000025780,Itih5,0.8020134726,4.9405042,18.2769154927101,1.910078512642e-5,0.00300491032824091,UP,inter-alpha (globulin) inhibitor H5
5254,ENSMUSG00000028883,Sema3a,1.148038202,1.31696372,18.2943004710446,1.892726025794e-5,0.00300491032824091,UP,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
12212,ENSMUSG00000072941,Sod3,0.7271959954,4.17072668,18.0990620357526,2.097047071692e-5,0.00326318759547274,UP,"superoxide dismutase 3, extracellular"
1716,ENSMUSG00000019978,Epb41l2,0.5408502616,4.67264997,17.940135097256,2.279628630193e-5,0.00350915736235021,UP,erythrocyte membrane protein band 4.1 like 2
5005,ENSMUSG00000028339,Col15a1,0.8677905902,4.3177052400000004,17.9069293991514,2.319749551351e-5,0.00353292921033426,UP,"collagen, type XV, alpha 1"
9703,ENSMUSG00000045287,Rtn4rl1,1.1348843721,1.15096476,17.6954235836493,2.592495727757e-5,0.00390675461458733,UP,reticulon 4 receptor-like 1
5899,ENSMUSG00000030513,Pcsk6,0.5972599965,4.5257104,17.6585821259566,2.643199124054e-5,0.0039416706937461,UP,proprotein convertase subtilisin/kexin type 6
2052,ENSMUSG00000020676,Ccl11,0.6977974801,3.59373176,17.6174765673986,2.700948163539e-5,0.00396833880939559,UP,chemokine (C-C motif) ligand 11
3033,ENSMUSG00000022952,Runx1,-1.0527272028,1.86518556,17.6020030938007,2.723013787502e-5,0.00396833880939559,DOWN,runt related transcription factor 1
11697,ENSMUSG00000063873,Slc24a3,1.0372138071,1.26318041,17.5872360043419,2.744241003982e-5,0.00396833880939559,UP,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
10507,ENSMUSG00000051726,Kcnf1,-1.3061289229,3.58047424,17.4874728338467,2.892070379103e-5,0.00414028795472526,DOWN,"potassium voltage-gated channel, subfamily F, member 1"
8840,ENSMUSG00000040471,Ggt6,-1.449619539,0.21030684,17.3962551063316,3.034232062428e-5,0.0043007986342301,DOWN,gamma-glutamyltransferase 6
3190,ENSMUSG00000023945,Slc5a7,2.4301818255,-0.60060519,17.2082681630938,3.349752776664e-5,0.00467719283195669,UP,"solute carrier family 5 (choline transporter), member 7"
13341,ENSMUSG00000097042,Gm17491,-0.9611376702,1.35653716,17.1995717897139,3.365121973257e-5,0.00467719283195669,DOWN,"predicted gene, 17491"
10762,ENSMUSG00000054034,Tceal5,-0.4553700956,4.37463179,17.1806137392461,3.398872864601e-5,0.00467867922400294,DOWN,transcription elongation factor A (SII)-like 5
6177,ENSMUSG00000031246,Sh3bgrl,0.5940942479,3.58123383,17.0905563256424,3.563907995764e-5,0.00481329310069523,UP,SH3-binding domain glutamic acid-rich protein like
10883,ENSMUSG00000055254,Ntrk2,0.7723052622,3.28837185,17.1034914696605,3.539717188557e-5,0.00481329310069523,UP,"neurotrophic tyrosine kinase, receptor, type 2"
1095,ENSMUSG00000013539,Tango2,-0.4848665145,5.3141169,16.9187914291268,3.901345111853e-5,0.00521978099264445,DOWN,transport and golgi organization 2
11254,ENSMUSG00000059201,Lep,1.3999301919,4.59294174,16.84744098898,4.050791118594e-5,0.00536954867164835,UP,leptin
6556,ENSMUSG00000032085,Tagln,0.449108859,4.66640947,16.8277495798834,4.093039633579e-5,0.00537577572425049,UP,transgelin
1071,ENSMUSG00000012428,Steap4,0.5581685622,4.67103064,16.7899461416232,4.175393645372e-5,0.00538512931776149,UP,STEAP family member 4
5660,ENSMUSG00000029761,Cald1,0.447910903,4.78002571,16.8048934424343,4.142633989471e-5,0.00538512931776149,UP,caldesmon 1
12945,ENSMUSG00000086801,Gm15943,-0.5573169332,6.19485974,16.6399292323361,4.51895980255e-5,0.00577619897618901,DOWN,predicted gene 15943
13550,ENSMUSG00000099906,Lincmd1,-1.8746297968,1.89064299,16.6126193478289,4.584496821962e-5,0.00580811119497426,DOWN,long intergenic non-protein coding RNA of muscle differentiation 1
7645,ENSMUSG00000036144,Meox2,0.636925917,2.9108487,16.3870159942768,5.163774549061e-5,0.00648461372319016,UP,mesenchyme homeobox 2
4399,ENSMUSG00000026858,Miga2,-0.6125184348,4.54632551,16.348835392306,5.268852981366e-5,0.00655903472010844,DOWN,mitoguardin 2
3497,ENSMUSG00000024664,Fads3,0.7480825221,3.44388817,16.1976773436414,5.7064039223e-5,0.00692312530098736,UP,fatty acid desaturase 3
6222,ENSMUSG00000031373,Car5b,1.1363776615,0.9242583,16.2205476272355,5.637927568301e-5,0.00692312530098736,UP,"carbonic anhydrase 5b, mitochondrial"
9218,ENSMUSG00000042116,Vwa1,0.440866874,4.85503218,16.2031736689264,5.689871300285e-5,0.00692312530098736,UP,von Willebrand factor A domain containing 1
6187,ENSMUSG00000031283,Chrdl1,1.1062496588,1.97662067,16.1676999067389,5.797428286203e-5,0.00697445238195756,UP,chordin-like 1
1626,ENSMUSG00000019718,L3hypdh,1.4237614844,0.08652669,16.1464858924432,5.862724120955e-5,0.0069942298762999304,UP,L-3-hydroxyproline dehydratase (trans-)
3057,ENSMUSG00000023004,Tuba1b,0.5380345487,5.2341156,16.1295277195368,5.915452206417e-5,0.00699881105678254,UP,"tubulin, alpha 1B"
2762,ENSMUSG00000022357,Klhl38,-0.5386263815,6.75880845,16.0604650273002,6.135161577634e-5,0.00708566278850691,DOWN,kelch-like 38
2768,ENSMUSG00000022364,Tbc1d31,-0.915528352,1.88024138,16.0597915207472,6.137344130866e-5,0.00708566278850691,DOWN,"TBC1 domain family, member 31"
5893,ENSMUSG00000030495,Slc7a10,1.0227087838,1.59557965,16.0796520569235,6.073311236379e-5,0.00708566278850691,UP,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 10"
7731,ENSMUSG00000036528,Ppfibp2,-0.4569726937,4.2931974,16.0420174116389,6.195225681465e-5,0.00709526806846825,DOWN,"PTPRF interacting protein, binding protein 2 (liprin beta 2)"
3731,ENSMUSG00000025203,Scd2,0.6048688478,4.06293412,16.0064409750327,6.312735265175e-5,0.00717246968700392,UP,stearoyl-Coenzyme A desaturase 2
12045,ENSMUSG00000070436,Serpinh1,0.4771737596,4.91057481,15.9879550607848,6.374677002819e-5,0.00718581700569774,UP,"serine (or cysteine) peptidase inhibitor, clade H, member 1"
8383,ENSMUSG00000038776,Ephx1,0.4711260594,4.40139452,15.8647937628231,6.803260701496e-5,0.00760902189083013,UP,"epoxide hydrolase 1, microsomal"
8315,ENSMUSG00000038550,Ciart,1.0446107997,2.76002729,15.7707950851379,7.149769234607e-5,0.00793458111338297,UP,circadian associated repressor of transcription
4828,ENSMUSG00000027940,Tpm3,-0.6648067061,7.86227108,15.7429661905002,7.255721862752e-5,0.00799022416824322,DOWN,"tropomyosin 3, gamma"
102,ENSMUSG00000000838,Fmr1,0.6115490853,3.83999316,15.6786723469483,7.506586987199e-5,0.00820338162662148,UP,FMRP translational regulator 1
1166,ENSMUSG00000014776,Nol3,-0.399453501,6.40717849,15.4713666097957,8.376460979327e-5,0.00907097782885727,DOWN,nucleolar protein 3 (apoptosis repressor with CARD domain)
6015,ENSMUSG00000030772,Dkk3,0.5818303994,6.36314642,15.4479630976335,8.480829691768e-5,0.00907097782885727,UP,dickkopf WNT signaling pathway inhibitor 3
8213,ENSMUSG00000038259,Gdf5,-2.0061933723,-0.0183736,15.4457921475766,8.490577179846e-5,0.00907097782885727,DOWN,growth differentiation factor 5
7382,ENSMUSG00000034947,Tmem106a,0.9545787759,1.32530611,15.3622907102785,8.874176314257e-5,0.00934137559668486,UP,transmembrane protein 106A
12984,ENSMUSG00000087231,E230016M11Rik,-1.3280237868,0.45956781,15.3643312763979,8.86459736762e-5,0.00934137559668486,DOWN,RIKEN cDNA E230016M11 gene
12472,ENSMUSG00000076431,Sox4,-1.2011121278,2.16092515,15.2820378918806,9.259280207775e-5,0.00967560988719048,DOWN,SRY (sex determining region Y)-box 4
3235,ENSMUSG00000024052,Lpin2,-0.6655658587,2.78816935,15.2606001731993,9.364968758556e-5,0.00971513715561593,DOWN,lipin 2
6978,ENSMUSG00000033327,Tnxb,0.513233926,6.22430503,15.1953543417049,9.694161701203e-5,0.00998428913053405,UP,tenascin XB
5766,ENSMUSG00000030108,Slc6a13,1.2475975284,0.49755512,15.0858688859882,1.0272943477041e-4,0.01050481848695175,UP,"solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
1656,ENSMUSG00000019817,Plagl1,1.1608030692,0.7536128,15.0672977214483,1.0374512449359e-4,0.01053344115071157,UP,pleiomorphic adenoma gene-like 1
10822,ENSMUSG00000054641,Mmrn1,1.0141888615,1.24910931,15.0104196083036,1.0691920484955e-4,0.01077926293398741,UP,multimerin 1
8055,ENSMUSG00000037762,Slc16a9,-0.6222335353,3.25433446,14.9821260086118,1.0853434975615e-4,0.01086557867908466,DOWN,"solute carrier family 16 (monocarboxylic acid transporters), member 9"
6702,ENSMUSG00000032411,Tfdp2,-0.492772463,5.53566575,14.9401014795996,1.1097876819879e-4,0.01103313920509679,DOWN,transcription factor Dp 2
4782,ENSMUSG00000027820,Mme,0.7838511519,2.472971,14.8108075558923,1.1885241570454e-4,0.01173442195328484,UP,membrane metallo endopeptidase
622,ENSMUSG00000004939,Nmrk2,0.7003048798,5.39707416,14.6838654514358,1.2712991819207e-4,0.01246569800573774,UP,nicotinamide riboside kinase 2
12284,ENSMUSG00000073730,Ppp1r14bl,-0.7203925389,2.55042103,14.5940275970364,1.3333646002495e-4,0.01298533851508301,DOWN,"protein phosphatase 1, regulatory inhibitor subunit 14B like"
12168,ENSMUSG00000071847,Apcdd1,0.6876496687,2.58920778,14.5650946947308,1.3539957163693e-4,0.01309716396996193,UP,adenomatosis polyposis coli down-regulated 1
5792,ENSMUSG00000030208,Emp1,0.6460749464,5.24258743,14.5449137775683,1.3685760649576e-4,0.01314935231270764,UP,epithelial membrane protein 1
4331,ENSMUSG00000026728,Vim,0.4299948819,6.77080745,14.5207464367378,1.386244696611e-4,0.01321701741943614,UP,vimentin
5125,ENSMUSG00000028600,Podn,0.6108654147,3.40442353,14.4893584410265,1.4095356366276e-4,0.01321701741943614,UP,podocan
7970,ENSMUSG00000037406,Htra4,1.0297865825999999,2.73916868,14.4887721060962,1.4099744451995e-4,0.01321701741943614,UP,HtrA serine peptidase 4
13264,ENSMUSG00000094910,D430019H16Rik,1.6877148483,-0.44066286,14.4853370709167,1.412547963938e-4,0.01321701741943614,UP,RIKEN cDNA D430019H16 gene
4265,ENSMUSG00000026574,Dpt,0.740926549,5.25662927,14.4681014131539,1.4255324498422e-4,0.01325189776100138,UP,dermatopontin
12386,ENSMUSG00000074771,Ankef1,1.4792166006,-0.02255641,14.4162786674318,1.4653015938697e-4,0.01353371459215426,UP,ankyrin repeat and EF-hand domain containing 1
8255,ENSMUSG00000038387,Rras,-0.4241157664,4.40921213,14.2836377150456,1.5722564212585e-4,0.014428476235087929,DOWN,related RAS viral (r-ras) oncogene
10940,ENSMUSG00000055866,Per2,0.5906677219,4.37896294,14.2456151721494,1.6043415880352e-4,0.01462914278618644,UP,period circadian clock 2
1154,ENSMUSG00000014602,Kif1a,0.9669166697,1.43798119,14.2260975935663,1.6210667086442e-4,0.01468809557022216,UP,kinesin family member 1A
1724,ENSMUSG00000019997,Ccn2,-0.6755599224,4.64653039,14.211134699933,1.6340076209275e-4,0.014712234654842,DOWN,cellular communication network factor 2
2393,ENSMUSG00000021474,Sfxn1,0.9314640272,1.10814618,14.156418090952,1.6822224961909e-4,0.01505168578466823,UP,sideroflexin 1
3324,ENSMUSG00000024222,Fkbp5,-0.9950595433,6.62560508,14.1081949662495,1.7259022000548e-4,0.01534659372421451,DOWN,FK506 binding protein 5
8112,ENSMUSG00000037977,6430571L13Rik,0.4822571267,4.8474365,14.0912520357434,1.7415185216227e-4,0.01538986367626623,UP,RIKEN cDNA 6430571L13 gene
13190,ENSMUSG00000091898,Tnnc1,-0.7234156922,6.48285953,14.0768573758103,1.7548978738562e-4,0.01541295580498496,DOWN,"troponin C, cardiac/slow skeletal"
2656,ENSMUSG00000022105,Rb1,-0.4339919485,4.496201,14.043214819208,1.7865726620708e-4,0.01559547209158933,DOWN,RB transcriptional corepressor 1
8418,ENSMUSG00000038893,Fam117a,0.8795447182,1.27516622,13.9893975031584,1.8384440984387e-4,0.01595100952318088,UP,"family with sequence similarity 117, member A"
6695,ENSMUSG00000032401,Lctl,1.8250732517,-0.59999182,13.9350957898823,1.8923204358318e-4,0.01622183195171784,UP,lactase-like
12897,ENSMUSG00000086289,Gm16933,0.9179505466,1.72332506,13.9419286295015,1.8854545929874e-4,0.01622183195171784,UP,"predicted gene, 16933"
6606,ENSMUSG00000032232,Cgnl1,0.5752138374,3.27388407,13.8768878833275,1.9518401820476e-4,0.01653846719458914,UP,cingulin-like 1
