,Ensembl,Symbol,s22mo_C_F-s06mo_C_F_logFC,s22mo_C_F-s06mo_C_F_logCPM,s22mo_C_F-s06mo_C_F_LR,s22mo_C_F-s06mo_C_F_PValue,s22mo_C_F-s06mo_C_F_Status,s22mo_C_F-s06mo_C_F_Status,Description
5465,ENSMUSG00000029368,Alb,-4.8888950228,0.5594521,40.36702738006598,2.1046e-10,7.5225e-8,DOWN,albumin
5871,ENSMUSG00000030494,Rhpn2,-1.1289281558,3.6217858,40.14860688225486,2.3536e-10,8.2072e-8,DOWN,"rhophilin, Rho GTPase binding protein 2"
9251,ENSMUSG00000042401,Crtac1,-3.0023669523,-0.4626009,39.92995036162439,2.6324e-10,8.9607e-8,DOWN,cartilage acidic protein 1
822,ENSMUSG00000006800,Sulf2,-1.1890264368,3.2695177,39.70099246819534,2.9598e-10,9.8408e-8,DOWN,sulfatase 2
173,ENSMUSG00000001348,Acp5,-2.6731530671,0.8860356,39.45003054815409,3.3656e-10,1.0936e-7,DOWN,"acid phosphatase 5, tartrate resistant"
8308,ENSMUSG00000038642,Ctss,-1.5968038276,2.2651671,39.07204206564816,4.0845e-10,1.2977e-7,DOWN,cathepsin S
5663,ENSMUSG00000029816,Gpnmb,-1.4462634706,2.0065043,38.85308122193483,4.5693e-10,1.361e-7,DOWN,glycoprotein (transmembrane) nmb
5776,ENSMUSG00000030218,Mgp,-0.819165355,4.2256949,38.86915827454413,4.5318e-10,1.361e-7,DOWN,matrix Gla protein
9104,ENSMUSG00000041737,Tmem45b,-3.0363597653,1.9344978,38.92113891027989,4.4128e-10,1.361e-7,DOWN,transmembrane protein 45b
9783,ENSMUSG00000046275,Trarg1,-1.5278525864,2.0880739,38.58147732345762,5.2515e-10,1.5323e-7,DOWN,trafficking regulator of GLUT4 (SLC2A4) 1
5942,ENSMUSG00000030671,Pde3b,-1.4897610894,2.3752148,38.40080277353591,5.7609e-10,1.5881e-7,DOWN,"phosphodiesterase 3B, cGMP-inhibited"
7071,ENSMUSG00000033825,Tpsb2,-1.6181375717,2.6748042,38.4437554951796,5.6355e-10,1.5881e-7,DOWN,tryptase beta 2
8446,ENSMUSG00000039109,F13a1,-1.2351134372,3.2090836,38.39558630683102,5.7763e-10,1.5881e-7,DOWN,"coagulation factor XIII, A1 subunit"
1380,ENSMUSG00000017493,Igfbp4,-0.9594778543,5.6152478,38.32737301967454,5.9818e-10,1.6136e-7,DOWN,insulin-like growth factor binding protein 4
8968,ENSMUSG00000041120,Nbl1,-0.9491924039,4.2941571,38.12031245100692,6.6514e-10,1.761e-7,DOWN,"NBL1, DAN family BMP antagonist"
2903,ENSMUSG00000022665,Ccdc80,-1.0653797779,4.2000317,37.58829582639459,8.7367e-10,2.2711e-7,DOWN,coiled-coil domain containing 80
12459,ENSMUSG00000078234,Klhdc7a,-2.1837198512,1.3616989,37.23340123085771,1.0480000000000001e-09,2.6757e-7,DOWN,kelch domain containing 7A
6360,ENSMUSG00000031722,Hp,-2.9374084936,2.0626876,37.15160629162033,1.0929e-9,2.7413e-7,DOWN,haptoglobin
13082,ENSMUSG00000090231,Cfb,-2.0624782827,2.2177133,36.91740245179398,1.2324e-9,3.0379e-7,DOWN,complement factor B
2707,ENSMUSG00000022225,Cma1,-1.7844581579,2.2462382,36.72131820046947,1.3628e-9,3.3024e-7,DOWN,"chymase 1, mast cell"
11398,ENSMUSG00000061100,Retnla,-1.5146923243,2.6283939,36.67381846933579,1.3964e-9,3.3274e-7,DOWN,resistin like alpha
2999,ENSMUSG00000022878,Adipoq,-2.5194702872,3.8718691,36.34940953830326,1.6493e-9,3.8656e-7,DOWN,"adiponectin, C1Q and collagen domain containing"
7725,ENSMUSG00000036594,H2-Aa,-1.2325685713,3.7088882,36.25166749198475,1.7341e-9,3.9988e-7,DOWN,"histocompatibility 2, class II antigen A, alpha"
1546,ENSMUSG00000018927,Ccl6,-1.4707624841,2.1830728,35.51077004203871,2.5364e-9,5.7561e-7,DOWN,chemokine (C-C motif) ligand 6
11596,ENSMUSG00000063275,Hacd1,0.9086495537,4.5540962,35.34455339401797,2.7624e-9,6.1709e-7,UP,3-hydroxyacyl-CoA dehydratase 1
6003,ENSMUSG00000030787,Lyve1,-1.3232166028,2.3829971,35.24778926418425,2.9031e-9,6.3855e-7,DOWN,lymphatic vessel endothelial hyaluronan receptor 1
3369,ENSMUSG00000024371,C2,-1.6845014978,1.194304,35.06644627111055,3.1864e-9,6.9025e-7,DOWN,complement component 2 (within H-2S)
3465,ENSMUSG00000024610,Cd74,-1.1329326584,5.073259,34.95018989020431,3.3825e-9,7.2178e-7,DOWN,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated"
6032,ENSMUSG00000030862,Cpxm2,-1.185790962,3.2801241,34.49047093527205,4.2834e-9,9.0059e-7,DOWN,carboxypeptidase X 2 (M14 family)
3470,ENSMUSG00000024621,Csf1r,-0.8987981215,3.9439221,34.44223425618765,4.3909e-9,9.0981e-7,DOWN,colony stimulating factor 1 receptor
2240,ENSMUSG00000021091,Serpina3n,-2.8539198528,1.7757533,34.23695258758219,4.8794e-9,9.9657e-7,DOWN,"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
10496,ENSMUSG00000051980,Casr,-0.9328981778,4.0865687,34.13861191448196,5.1323e-9,1.0335e-6,DOWN,calcium-sensing receptor
496,ENSMUSG00000003746,Man1a,-0.9086485058,3.7311724,34.03070877289028,5.4249e-9,1.0772e-6,DOWN,"mannosidase 1, alpha"
7889,ENSMUSG00000037242,Clic4,-0.7133077247,5.5757207,33.63374968999568,6.6528e-9,1.303e-6,DOWN,chloride intracellular channel 4 (mitochondrial)
252,ENSMUSG00000001918,Slc1a5,-1.0363095417,4.1470699,33.16056101333869,8.4854e-9,1.6394e-6,DOWN,"solute carrier family 1 (neutral amino acid transporter), member 5"
6498,ENSMUSG00000031994,Adamts8,2.4892250933,1.5414525,32.16989297726841,1.4126e-8,2.6928e-6,UP,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"
8267,ENSMUSG00000038521,C1s1,-0.7900290825,4.5095146,32.06133665513268,1.4938e-8,2.8101e-6,DOWN,"complement component 1, s subcomponent 1"
3161,ENSMUSG00000023885,Thbs2,-1.5313387967,3.724868,31.80180439339772,1.7073e-8,3.1701e-6,DOWN,thrombospondin 2
8669,ENSMUSG00000039956,Mrap,-2.5851766461,-0.5116577,31.76803882851184,1.7373e-8,3.1843e-6,DOWN,melanocortin 2 receptor accessory protein
6584,ENSMUSG00000032232,Cgnl1,-1.0315069501,3.0511067,31.60631590051749,1.8881e-8,3.4171e-6,DOWN,cingulin-like 1
2580,ENSMUSG00000021943,Gdf10,-1.5356665806,1.6022406,31.15492046911418,2.3823e-8,4.2576e-6,DOWN,growth differentiation factor 10
13293,ENSMUSG00000096768,Gm47283,1.0073625226,3.7340425,30.560427217289998,3.2363e-8,5.7122e-6,UP,"predicted gene, 47283"
10026,ENSMUSG00000048078,Tenm4,-1.8042773977,1.1686203,30.52017903256226,3.3041e-8,5.7609e-6,DOWN,teneurin transmembrane protein 4
346,ENSMUSG00000002602,Axl,-0.9274321014,5.1451888,30.078935571626,4.1481e-8,6.9771e-6,DOWN,AXL receptor tyrosine kinase
11216,ENSMUSG00000059201,Lep,-3.1028745822,2.952897,30.09352020538656,4.117e-8,6.9771e-6,DOWN,leptin
11702,ENSMUSG00000064294,Aox3,-3.2358082781,-0.8290978,30.10696077233579,4.0886e-8,6.9771e-6,DOWN,aldehyde oxidase 3
11354,ENSMUSG00000060586,H2-Eb1,-1.1203932303,3.6770198,29.88132618280776,4.5932e-8,7.6359e-6,DOWN,"histocompatibility 2, class II antigen E beta"
2550,ENSMUSG00000021876,Rnase4,-0.8952231989,4.0993976,29.81500202504413,4.753e-8,7.8108e-6,DOWN,"ribonuclease, RNase A family 4"
3071,ENSMUSG00000023043,Krt18,-1.8475501283,2.0876609,29.75537775047985,4.9014e-8,7.9299e-6,DOWN,keratin 18
7792,ENSMUSG00000036887,C1qa,-1.3376311042,3.4922398,29.74158404925298,4.9364e-8,7.9299e-6,DOWN,"complement component 1, q subcomponent, alpha polypeptide"
5995,ENSMUSG00000030772,Dkk3,-1.0918553544,3.9923754,29.64575004763534,5.1866e-8,8.2392e-6,DOWN,dickkopf WNT signaling pathway inhibitor 3
7480,ENSMUSG00000035493,Tgfbi,-0.9330013318,3.9305344,29.55843748260151,5.4256e-8,8.5241e-6,DOWN,"transforming growth factor, beta induced"
4877,ENSMUSG00000028076,Cd1d1,-1.8603227828,1.2086884,29.40797052489955,5.8636e-8,9.1122e-6,DOWN,CD1d1 antigen
11958,ENSMUSG00000069763,Tmem100,-0.8730204488,3.5504193,29.20161016289914,6.5225e-8,1.0027e-5,DOWN,transmembrane protein 100
3534,ENSMUSG00000024803,Ankrd1,-1.3658435186,4.5925987,28.5984935941359,8.9051e-8,1.3402e-5,DOWN,ankyrin repeat domain 1 (cardiac muscle)
4291,ENSMUSG00000026674,Ddr2,-0.8085712425,4.0213287,28.61428708690172,8.8328e-8,1.3402e-5,DOWN,"discoidin domain receptor family, member 2"
7436,ENSMUSG00000035273,Hpse,-2.1320203423,-0.1182437,28.3971404272959,9.8811e-8,1.4716e-5,DOWN,heparanase
2608,ENSMUSG00000021998,Lcp1,-1.3141399353,2.1406496,28.26868874537452,1.0559e-7,1.5563e-5,DOWN,lymphocyte cytosolic protein 1
4895,ENSMUSG00000028108,Ecm1,-0.8556862938,3.6890569,28.19162632850189,1.0988e-7,1.603e-5,DOWN,extracellular matrix protein 1
7800,ENSMUSG00000036905,C1qb,-1.481618542,3.0753491,27.86597992047725,1.3002e-7,1.8776e-5,DOWN,"complement component 1, q subcomponent, beta polypeptide"
9395,ENSMUSG00000043122,A530016L24Rik,-1.5357050525,1.3117561,27.68025456710716,1.4312e-7,2.0461e-5,DOWN,RIKEN cDNA A530016L24 gene
4934,ENSMUSG00000028195,Ccn1,-0.8814655797,4.7998682,27.54738771627888,1.5329e-7,2.1699e-5,DOWN,cellular communication network factor 1
10954,ENSMUSG00000056427,Slit3,-1.1605506524,2.9420943,27.29660263700303,1.7452e-7,2.4462e-5,DOWN,slit guidance ligand 3
11811,ENSMUSG00000067235,H2-Q10,-2.4183843126,-0.2236299,27.12347915312328,1.9087e-7,2.6493e-5,DOWN,"histocompatibility 2, Q region locus 10"
1586,ENSMUSG00000019326,Aoc3,-1.2752928461,3.6745842,27.00400474644859,2.0303e-7,2.7911e-5,DOWN,"amine oxidase, copper containing 3"
3239,ENSMUSG00000024074,Crim1,-0.635522437,6.0284801,26.86078678565399,2.1865e-7,2.9772e-5,DOWN,cysteine rich transmembrane BMP regulator 1 (chordin like)
11167,ENSMUSG00000058624,Gda,-0.7918513754,3.433401,26.71383665163412,2.3593e-7,3.1821e-5,DOWN,guanine deaminase
11394,ENSMUSG00000061068,Mcpt4,-1.2615920344,2.8841473,26.62633739850062,2.4686e-7,3.2984e-5,DOWN,mast cell protease 4
246,ENSMUSG00000001865,Cpa3,-1.8581580512,1.4927045,26.46242134586676,2.6871e-7,3.5572e-5,DOWN,"carboxypeptidase A3, mast cell"
12012,ENSMUSG00000070498,Tmem132b,-2.4946580526,0.8788792,26.4056374978366,2.7673e-7,3.6298e-5,DOWN,transmembrane protein 132B
8429,ENSMUSG00000039062,Anpep,-0.9096737046,2.838049,26.16169203938284,3.1399e-7,4.081e-5,DOWN,alanyl (membrane) aminopeptidase
12352,ENSMUSG00000074771,Ankef1,-2.649214816,-0.0443836,25.89561296643598,3.6039e-7,4.6419e-5,DOWN,ankyrin repeat and EF-hand domain containing 1
9216,ENSMUSG00000042254,Cilp,-1.1213350047,5.2633619,25.76422432284922,3.8577e-7,4.9245e-5,DOWN,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
4299,ENSMUSG00000026697,Myoc,-1.1013274568,5.5120683,25.57353659829552,4.2584e-7,5.3406e-5,DOWN,myocilin
5466,ENSMUSG00000029373,Pf4,-1.3660486957,1.6561256,25.58888965543729,4.2246e-7,5.3406e-5,DOWN,platelet factor 4
10028,ENSMUSG00000048096,Lmod1,0.7441596052,4.4069104,25.48122986092653,4.4671e-7,5.5535e-5,UP,leiomodin 1 (smooth muscle)
12290,ENSMUSG00000074207,Adh1,-0.8564458381,3.8474335,25.14678664707361,5.3128e-7,6.548e-5,DOWN,alcohol dehydrogenase 1 (class I)
6165,ENSMUSG00000031283,Chrdl1,-1.4354866443,1.8722523,25.06742645592438,5.536e-7,6.7648e-5,DOWN,chordin-like 1
7845,ENSMUSG00000037071,Scd1,-2.6405398316,6.7842895,25.01306810808518,5.6943e-7,6.8993e-5,DOWN,stearoyl-Coenzyme A desaturase 1
8748,ENSMUSG00000040254,Sema3d,-1.8729206614,0.0612127,24.97124678135853,5.8192e-7,6.9913e-5,DOWN,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D"
8231,ENSMUSG00000038400,Pmepa1,-0.8224220508,4.3932693,24.70906724045543,6.667e-7,7.9431e-5,DOWN,"prostate transmembrane protein, androgen induced 1"
2584,ENSMUSG00000021950,Anxa8,-2.0243541292,-0.196574,24.46225710659366,7.578e-7,8.9539e-5,DOWN,annexin A8
5772,ENSMUSG00000030208,Emp1,-1.0705836157,4.7508613,24.40142829497083,7.8211e-7,9.1654e-5,DOWN,epithelial membrane protein 1
1889,ENSMUSG00000020340,Cyfip2,-1.3899993587,3.2875891,24.37127010056584,7.9445e-7,9.2343e-5,DOWN,cytoplasmic FMR1 interacting protein 2
8844,ENSMUSG00000040612,Ildr2,-1.405095726,1.344893,24.33376765292759,8.1006e-7,9.3399e-5,DOWN,immunoglobulin-like domain containing receptor 2
2138,ENSMUSG00000020848,Doc2b,-2.408334993,-0.1438994,24.18047961247971,8.7717e-7,9.7976e-5,DOWN,"double C2, beta"
2424,ENSMUSG00000021559,Dapk1,-1.1909238078,2.1384463,24.18347649623358,8.758e-7,9.7976e-5,DOWN,death associated protein kinase 1
10835,ENSMUSG00000055172,C1ra,-0.9297489957,3.4137335,24.21149494794806,8.6316e-7,9.7976e-5,DOWN,"complement component 1, r subcomponent A"
11533,ENSMUSG00000062609,Kcnj15,-2.5044755055,-0.1575842,24.18247630639954,8.7626e-7,9.7976e-5,DOWN,"potassium inwardly-rectifying channel, subfamily J, member 15"
10988,ENSMUSG00000056737,Capg,-0.7862972179,3.5945794,24.11776469398109,9.062e-7,1.0043e-4,DOWN,"capping protein (actin filament), gelsolin-like"
9942,ENSMUSG00000047443,Erfe,2.2371855468,-0.6105623,24.08550544738709,9.2151e-7,1.0135e-4,UP,erythroferrone
3412,ENSMUSG00000024481,Lvrn,-1.1857122397,2.4254451,24.00875816691497,9.5898e-7,1.0466e-4,DOWN,laeverin
4558,ENSMUSG00000027322,Siglec1,-1.9694285824,0.5921803,23.86283720989588,1.0345e-6,1.1205e-4,DOWN,"sialic acid binding Ig-like lectin 1, sialoadhesin"
113,ENSMUSG00000000957,Mmp14,-0.9602733062,3.1184381,23.81735197998992,1.0592e-6,1.1386e-4,DOWN,matrix metallopeptidase 14 (membrane-inserted)
6899,ENSMUSG00000033088,Triobp,0.6576234234,5.2878429,23.79001173048952,1.0744e-6,1.1463e-4,UP,TRIO and F-actin binding protein
2318,ENSMUSG00000021268,Meg3,0.6498972098,4.2390135,23.76158898115001,1.0904e-6,1.1547e-4,UP,maternally expressed 3
10060,ENSMUSG00000048330,Ric3,-0.9593953187,2.3930667,23.62366117615407,1.1714e-6,1.2314e-4,DOWN,RIC3 acetylcholine receptor chaperone
9698,ENSMUSG00000045573,Penk,-1.459996235,1.3491558,23.34019057174587,1.3573e-6,1.4128e-4,DOWN,preproenkephalin
11948,ENSMUSG00000069607,Cd300ld3,-2.749484363,-0.8087862,23.33115545811248,1.3637e-6,1.4128e-4,DOWN,CD300 molecule like family member D3
12990,ENSMUSG00000087523,Gm12319,1.0090581838,3.7414577,23.11868241541272,1.523e-6,1.5665e-4,UP,predicted gene 12319
7263,ENSMUSG00000034593,Myo5a,-0.6479957834,3.8535847,23.04407138225703,1.5833e-6,1.6169e-4,DOWN,myosin VA
1898,ENSMUSG00000020363,Gfpt2,-1.1245258202,2.4561235,22.97651387746926,1.6399e-6,1.6511e-4,DOWN,glutamine fructose-6-phosphate transaminase 2
4414,ENSMUSG00000026938,Fcna,-1.8396156211,0.6082051,22.97701780095428,1.6395e-6,1.6511e-4,DOWN,ficolin A
11136,ENSMUSG00000058297,Spock2,-1.014870958,3.320169,22.9241076242938,1.6852e-6,1.6849e-4,DOWN,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
11375,ENSMUSG00000060802,B2m,-1.020092778,5.7527921,22.89260412460686,1.7131e-6,1.7008e-4,DOWN,beta-2 microglobulin
947,ENSMUSG00000009185,Ccl8,-4.1361077896,0.4788939,22.84507825899592,1.756e-6,1.7314e-4,DOWN,chemokine (C-C motif) ligand 8
7411,ENSMUSG00000035184,Fam124a,-1.2337167424,1.7428039,22.79355749416414,1.8037e-6,1.7663e-4,DOWN,"family with sequence similarity 124, member A"
8689,ENSMUSG00000040016,Ptger3,-2.4102268944,0.6747948,22.66405807572479,1.9294e-6,1.8765e-4,DOWN,prostaglandin E receptor 3 (subtype EP3)
10613,ENSMUSG00000052974,Cyp2f2,-2.5588158734,-0.4142775,22.33802227293837,2.2863e-6,2.2086e-4,DOWN,"cytochrome P450, family 2, subfamily f, polypeptide 2"
5100,ENSMUSG00000028581,Laptm5,-0.931654695,2.6336915,22.18091370551594,2.4813e-6,2.3809e-4,DOWN,lysosomal-associated protein transmembrane 5
2624,ENSMUSG00000022032,Scara5,-0.8118320834,4.2737639,22.06661282702216,2.6335e-6,2.5101e-4,DOWN,"scavenger receptor class A, member 5"
2697,ENSMUSG00000022206,Npr3,-1.103813125,3.6540773,21.92580543298194,2.834e-6,2.6833e-4,DOWN,natriuretic peptide receptor 3
3639,ENSMUSG00000025017,Pik3ap1,-1.9953940357,0.0946602,21.89710768480936,2.8767e-6,2.7058e-4,DOWN,phosphoinositide-3-kinase adaptor protein 1
4421,ENSMUSG00000026956,Uap1l1,-0.8520918666,2.7055366,21.74248480176852,3.1181e-6,2.9137e-4,DOWN,UDP-N-acteylglucosamine pyrophosphorylase 1-like 1
10487,ENSMUSG00000051855,Mest,-1.3353079655,2.552158,21.58341946140259,3.3877e-6,3.145e-4,DOWN,mesoderm specific transcript
6380,ENSMUSG00000031762,Mt2,-1.4068155829,2.3898891,21.53469201227652,3.4749e-6,3.2052e-4,DOWN,metallothionein 2
915,ENSMUSG00000008540,Mgst1,-0.8596144702,3.375082,21.46779422441019,3.5982e-6,3.2977e-4,DOWN,microsomal glutathione S-transferase 1
10099,ENSMUSG00000048612,Myof,-0.9620377998,2.354378,21.2770464125676,3.9746e-6,3.6194e-4,DOWN,myoferlin
13223,ENSMUSG00000094410,Zbed6,0.6618368901,5.0933855,21.24826118088447,4.0348e-6,3.6509e-4,UP,"zinc finger, BED type containing 6"
12498,ENSMUSG00000078670,Fam174b,-1.6854028264,1.0321851,21.22615325114099,4.0816e-6,3.6701e-4,DOWN,"family with sequence similarity 174, member B"
12198,ENSMUSG00000073409,H2-Q6,-1.7763477598,1.9668894,21.08189275985886,4.4007e-6,3.9323e-4,DOWN,"histocompatibility 2, Q region locus 6"
6008,ENSMUSG00000030798,Cd37,-1.4881081832,0.7337771,21.0029580006463,4.5857e-6,4.0722e-4,DOWN,CD37 antigen
1693,ENSMUSG00000019929,Dcn,-0.817005956,7.4321819,20.92851170233445,4.7675e-6,4.2074e-4,DOWN,decorin
3140,ENSMUSG00000023572,Ccndbp1,-0.5853133018,5.6335363,20.90402835064783,4.8288e-6,4.2096e-4,DOWN,cyclin D-type binding-protein 1
7330,ENSMUSG00000034845,Plvap,-0.646376166,4.3963277,20.91073161204708,4.8119e-6,4.2096e-4,DOWN,plasmalemma vesicle associated protein
5878,ENSMUSG00000030513,Pcsk6,-0.7476698811,4.2531043,20.83008821301771,5.0188e-6,4.3487e-4,DOWN,proprotein convertase subtilisin/kexin type 6
3888,ENSMUSG00000025647,Shisa5,-0.7144813995,3.8155974,20.77502776832873,5.1652e-6,4.4372e-4,DOWN,shisa family member 5
4859,ENSMUSG00000028041,Adam15,-0.6381672907,4.6844243,20.76842787378982,5.183e-6,4.4372e-4,DOWN,a disintegrin and metallopeptidase domain 15 (metargidin)
10074,ENSMUSG00000048416,Mlf1,0.7035581145,6.7477745,20.63955278683906,5.5439e-6,4.7179e-4,UP,myeloid leukemia factor 1
8831,ENSMUSG00000040552,C3ar1,-1.7567285154,0.3555462,20.43430987119784,6.1713e-6,5.2208e-4,DOWN,complement component 3a receptor 1
12199,ENSMUSG00000073411,H2-D1,-0.9503033885,5.6674364,20.40956948498548,6.2516e-6,5.2269e-4,DOWN,"histocompatibility 2, D region locus 1"
13154,ENSMUSG00000091712,Sec14l5,0.6506459884,4.9369654,20.41868638926888,6.2219e-6,5.2269e-4,UP,SEC14-like lipid binding 5
3286,ENSMUSG00000024173,Tpsab1,-1.4909584053,0.4961113,20.31245372914092,6.5771e-6,5.416e-4,DOWN,tryptase alpha/beta 1
7348,ENSMUSG00000034903,Cobll1,-1.0194388476,3.364326,20.30986432667545,6.586e-6,5.416e-4,DOWN,Cobl-like 1
